rank,sector,group,ticker_a,ticker_b,latest_corr,min_corr,std_corr,passed_stage_a,pvalue_ab,pvalue_ba,cointegrated,hedge_ratio,n_crossings,passed_stage_b
59,Technology,Semiconductor Equipment & Materials (1),AMAT,ICHR,0.7829908196525783,0.7502245906470655,0.0154648549947656,True,0.3943428108865912,0.360841927253483,False,4.590472318332111,21.0,False
60,Technology,Semiconductor Equipment & Materials (1),NVMI,ICHR,0.6872325040151164,0.666032983322838,0.0106585742132498,True,0.7179294054201116,0.8759801747071951,False,1.1055991146197806,21.0,False
61,Technology,Semiconductor Equipment & Materials (1),KLIC,ACLS,0.7269734481290498,0.6976317627748486,0.009426669431005,True,0.4691649358513042,0.5057659879959828,False,0.5908645205938938,21.0,False
62,Consumer Cyclical,Packaging & Containers,SW,PKG,0.6626719239604766,0.6626719239604766,0.0199398334561151,True,0.0626428020320003,0.1774096126710474,False,0.2473456850430749,21.0,False
63,Consumer Defensive,Household & Personal Products,PG,CL,0.7552272138607337,0.6937206244801943,0.020882656288839,True,0.452746501868034,0.2129362250883754,False,1.1993750807712076,21.0,False
64,Consumer Defensive,Education & Training Services,UTI,LINC,0.7720426527112391,0.6942301786597236,0.0300436372242043,True,0.1867343654321187,0.2751421442461609,False,0.6149913118588101,21.0,False
65,Financial Services,Capital Markets (3),IREN,WULF,0.7367253492836341,0.7367253492836341,0.0164173508052813,True,0.2088042436317823,0.365374545501451,False,1.2182157154031543,21.0,False
66,Financial Services,Capital Markets (3),IREN,HUT,0.7123958752846706,0.6733387709399089,0.0195890748694875,True,0.380803993516694,0.9350089614721528,False,0.1922858930273164,21.0,False
67,Financial Services,Banks - Regional (1),MTB,CFG,0.735698655015401,0.6887342794005296,0.0188944271862349,True,0.6807789227111146,0.624244626518657,False,2.992301408895037,21.0,False
68,Financial Services,Banks - Regional (1),MTB,KEY,0.7593105047535826,0.7255408441716567,0.0116835201796175,True,0.9109886099078306,0.7586097976832508,False,10.298381351399804,21.0,False
69,Financial Services,Banks - Regional (2),RNST,CBU,0.8282927527047711,0.8161296604916878,0.0072807699725947,True,0.5839493913472436,0.5823826053006829,False,0.6851006173982033,21.0,False
70,Technology,Semiconductor Equipment & Materials (1),LRCX,ACMR,0.7567495683287124,0.6903048360977327,0.0226896397039797,True,0.4706216539142594,0.53524055200131,False,2.472698451826989,20.0,False
71,Technology,Semiconductor Equipment & Materials (1),CAMT,UCTT,0.6753788513668971,0.6716310088276808,0.0121022726595168,True,0.5031261429957227,0.8859582539065405,False,0.2370830617978458,20.0,False
72,Technology,Electronic Components (1),GLW,JBL,0.701375333496009,0.6589833167580896,0.0162704624735008,True,0.048431976437311,0.1967977983544643,False,0.5929547779717804,20.0,False
73,Consumer Cyclical,Travel Services,CCL,NCLH,0.8189450542001183,0.8189450542001183,0.011026136787483,True,0.5871981693349211,0.6367478458795222,False,0.930869072929748,20.0,False
74,Consumer Cyclical,Auto & Truck Dealerships,PAG,GPI,0.7507152319847695,0.6561185616038676,0.0398084203115359,True,0.9885313935478528,0.0319747170160802,False,-0.1537095258677325,20.0,False
75,Consumer Cyclical,Residential Construction,PHM,CVCO,0.6937056000926305,0.6937056000926305,0.0109223626011284,True,0.0541268163564336,0.002797656157237,False,0.1036597769168111,20.0,False
76,Consumer Cyclical,Packaging & Containers,AMCR,SLGN,0.6554359057205299,0.6554359057205299,0.0129566633955014,True,0.2852498081663019,0.1595353208038481,False,0.8918522494638655,20.0,False
77,Financial Services,Capital Markets (3),WULF,HUT,0.7629686634681968,0.7613038291156174,0.0081069309193861,True,0.6704399774206822,0.8645704194513628,False,0.1482666375120079,20.0,False
78,Financial Services,Capital Markets (3),WULF,RIOT,0.7186827739472136,0.7186827739472136,0.0189220020558881,True,0.1480590344819529,0.2714652928730272,False,0.848025240555604,20.0,False
79,Financial Services,Banks - Regional (1),FITB,CFG,0.6948083443297944,0.6926982775083093,0.0073541366905925,True,0.3088061522821025,0.3328987505894189,False,0.8741946423016058,20.0,False
80,Financial Services,Banks - Regional (1),KEY,BOKF,0.7165496028461041,0.664625009953942,0.0158937101736981,True,0.256611222385403,0.0796276808610733,False,0.2229333481523016,20.0,False
81,Technology,Semiconductors (3),MPWR,SITM,0.6864163254657674,0.6864163254657674,0.0055185569424467,True,0.3131071381454371,0.4531410312450943,False,1.1157518881356046,19.0,False
82,Technology,Software - Infrastructure (1),PATH,GTLB,0.6999242211195278,0.6665613685108432,0.0172009704360961,True,0.1436319812385382,0.9273947402135112,False,0.1522142689665306,19.0,False
83,Technology,Semiconductor Equipment & Materials (1),LRCX,ONTO,0.8100673257415159,0.7541305993884144,0.023078479810005,True,0.5423082429563792,0.4691981565132087,False,1.0776423865790532,19.0,False
84,Technology,Semiconductor Equipment & Materials (1),ONTO,ICHR,0.7328697205231139,0.6851870940881304,0.0160663070754264,True,0.1173952294117211,0.1806065820909946,False,2.098118661502319,19.0,False
85,Technology,Semiconductor Equipment & Materials (1),ACLS,VECO,0.870271681795209,0.839215460687388,0.0143243182760595,True,0.4128120911470297,0.3926492082003882,False,2.199694919864191,19.0,False
86,Technology,Information Technology Services (1),ACN,EPAM,0.7918809688006981,0.7792740069343267,0.0087864164586477,True,0.5312481389169734,0.5554823475583709,False,0.9573600013675464,19.0,False
87,Technology,Electronic Components (2),KN,CTS,0.675977206800879,0.6560758141153675,0.0077284469346683,True,0.6416142595419533,0.4403283091478779,False,0.8663629710802823,19.0,False
88,Consumer Cyclical,Residential Construction,TOL,MHO,0.7712556986275515,0.7367686858744875,0.0131672735061906,True,0.8009188076110016,0.9301766861347364,False,0.7374362371420388,19.0,False
89,Consumer Cyclical,Packaging & Containers,SW,IP,0.738767855610411,0.738767855610411,0.0203137656889446,True,0.0776041667483789,0.4186895466012085,False,0.5582458030253022,19.0,False
90,Financial Services,Credit Services (2),COF,OMF,0.7406473762562551,0.6660930725139008,0.0344951622981969,True,0.0385335259861991,0.0721321381434571,False,3.1502351147173258,19.0,False
91,Financial Services,Capital Markets (3),IREN,CLSK,0.712364612546283,0.7016005442085855,0.0078498010614035,True,0.5629457521377628,0.9882275176228724,False,2.4360546760385846,19.0,False
92,Financial Services,Asset Management (2),KKR,ARES,0.776849623392233,0.7640791637919532,0.0154284989143587,True,0.500404477134892,0.7346853633437391,False,0.4783745658362522,19.0,False
93,Financial Services,Banks - Regional (1),PNC,MTB,0.7802145089927651,0.7386747887080871,0.0135145068140951,True,0.0779689654217362,0.0629105571714533,False,1.063361368149636,19.0,False
94,Financial Services,Banks - Regional (1),TFC,HBAN,0.7506005365815388,0.7506005365815388,0.0186350602889195,True,0.6170858714265743,0.7865244069336893,False,2.363874462773947,19.0,False
95,Financial Services,Banks - Regional (1),HBAN,MTB,0.8209362372202227,0.7656446298724795,0.025322825811162,True,0.8778834335100916,0.9852647537203992,False,0.0658544267283922,19.0,False
96,Financial Services,Banks - Regional (1),MTB,UMBF,0.6787512436032409,0.6756104016463157,0.012294562388623,True,0.568212234793696,0.6466534900185241,False,1.1087832529348327,19.0,False
97,Technology,Semiconductors (2),MTSI,SMTC,0.7548042030969896,0.6853545716444354,0.0272486532064452,True,0.4833564891651287,0.703827807336466,False,1.8668541647349075,18.0,False
98,Technology,Semiconductors (3),SITM,DIOD,0.6902016220117252,0.6516812064110522,0.0159227840303864,True,0.1481309924539943,0.1278715811212332,False,7.468282572244523,18.0,False
99,Consumer Cyclical,Auto & Truck Dealerships,AN,ABG,0.8192059850171484,0.773530788002935,0.0146692331055795,True,0.172424986479529,0.4517806129401157,False,0.4341535203294289,18.0,False
100,Consumer Cyclical,Packaging & Containers,SLGN,GEF,0.732346227922748,0.694085988833879,0.0144454213697589,True,0.2202270800006199,0.2274624423759431,False,0.8337355916109547,18.0,False
101,Financial Services,Capital Markets (1),MS,GS,0.8122889433524999,0.7940958445562876,0.008499472232047,True,0.1048932874421589,0.0830836126851751,False,0.2331290753898473,18.0,False
102,Financial Services,Capital Markets (1),MC,PJT,0.7514050317180364,0.6843549364701879,0.0250184855424577,True,0.092512390361133,0.0423582451701389,False,0.4727354366646487,18.0,False
103,Financial Services,Asset Management (2),BX,BN,0.7765212121011122,0.6983221626369106,0.0337600018194574,True,0.0124336888992423,0.7590968446303901,False,2.851284573558349,18.0,False
104,Financial Services,Banks - Regional (1),PNC,CFG,0.7202387600958414,0.6553470525744651,0.0235332414087583,True,0.105958534608092,0.0977966858780086,False,3.4115991405745545,18.0,False
105,Financial Services,Banks - Regional (1),KEY,UMBF,0.6593866536093503,0.6593866536093503,0.0106689417282116,True,0.337691513066116,0.4838906862637884,False,0.1056719187105932,18.0,False
106,Technology,Semiconductors (1),LSCC,RMBS,0.7613045697450731,0.6682910905308935,0.0377632841210534,True,0.6377290066367745,0.3729838474930737,False,0.837157419326144,17.0,False
107,Technology,Semiconductors (2),ALAB,CRDO,0.7835959263683272,0.7448496869253259,0.0172016700128666,True,0.0701527229021118,0.0610674920514047,False,1.7830843095636308,17.0,False
108,Technology,Semiconductors (3),ADI,MPWR,0.6803723128016081,0.6624256630244728,0.0101288638929969,True,0.2648371849763548,0.2725271085978169,False,0.1880486670246043,17.0,False
109,Technology,Software - Infrastructure (2),RBRK,ZETA,0.651412506497596,0.651412506497596,0.0219408770194582,True,0.3529764763215715,5.124181576109213e-05,False,4.472231489414401,17.0,False
110,Technology,Semiconductor Equipment & Materials (1),LRCX,KLIC,0.7034923267039312,0.6769515729829211,0.0266616977015408,True,0.0985938674162362,0.108884666821012,False,2.5286690867568384,17.0,False
111,Technology,Semiconductor Equipment & Materials (1),ENTG,CAMT,0.7253486971783959,0.6560263474521424,0.0292920664886288,True,0.3081415551451015,0.5617631309435308,False,0.5241732195917814,17.0,False
112,Technology,Semiconductor Equipment & Materials (2),TER,AMKR,0.712212382462242,0.6664080266109214,0.0252351387846975,True,0.0296633340880153,0.3338417034563864,False,3.235016482210535,17.0,False
113,Technology,Information Technology Services (1),G,GLOB,0.7529047334047863,0.7529047334047863,0.0058812634466211,True,0.478761244660973,0.3408688410583963,False,0.4296471299272255,17.0,False
114,Technology,Software - Application (2),CRM,NOW,0.7891908950312416,0.7880574755082163,0.011605632055294,True,0.8377565514231944,0.4908524668696985,False,1.0734856226554872,17.0,False
115,Technology,Software - Application (2),CRM,HUBS,0.7726059122191121,0.7437398530837754,0.0140861335303815,True,0.1329697298447976,0.1428390830926552,False,0.4322024349906944,17.0,False
116,Technology,Software - Application (7),ADP,PAYX,0.848978257069647,0.7523184373153005,0.038895035844891,True,0.1758248342825488,0.3688003924235645,False,2.409939173672843,17.0,False
117,Technology,Electronics & Computer Distribution,ARW,AVT,0.8075319824269507,0.8075319824269507,0.0047391777898119,True,0.065208654097279,0.0501528577351482,False,2.7950963979160983,17.0,False
118,Consumer Cyclical,Travel Services,BKNG,EXPE,0.6969353450912957,0.6949258779171834,0.0173788440555992,True,0.1554341141452718,0.4012553803595216,False,0.4481022927500087,17.0,False
119,Consumer Cyclical,Auto & Truck Dealerships,AN,GPI,0.8386471079637065,0.7697365633928405,0.0258338278767773,True,0.4691113873487573,0.1874635837455347,False,0.3338473154929715,17.0,False
120,Consumer Cyclical,Residential Construction,DHI,PHM,0.8407780872058903,0.8407780872058903,0.012884791860358,True,0.4176286458595211,0.5326278776651753,False,0.9747443689736734,17.0,False
121,Consumer Cyclical,Residential Construction,PHM,MHO,0.821925330085509,0.7892674259497129,0.0137159044623974,True,0.4708403600850264,0.9470622116138132,False,0.5235948164379446,17.0,False
122,Consumer Cyclical,Packaging & Containers,CCK,SLGN,0.7492166488362424,0.7492166488362424,0.0145706455324737,True,0.0718128665625915,0.079512008926332,False,1.6166095562712506,17.0,False
123,Healthcare,Diagnostics & Research (2),IQV,CRL,0.7503681343712695,0.7231874596097584,0.0098519205312463,True,0.1137206752739612,0.6323260983760505,False,0.6983814843108748,17.0,False
124,Healthcare,Biotechnology (11),ROIV,IMVT,0.6779181539745459,0.659770274929088,0.0145748140694465,True,0.2015930604703852,0.4899704464931997,False,0.5487732734930959,17.0,False
125,Financial Services,Capital Markets (3),HUT,RIOT,0.8249821626514724,0.8249821626514724,0.0088366941749418,True,0.2490214283014612,0.2170243878149103,False,5.478658815507175,17.0,False
